hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(3,)",relu,0.0001,200,0.0641488920599711,"[[[np.float64(-0.10345156737876207), np.float64(-0.6392782238091109), np.float64(-0.04312926749077182)], [np.float64(-0.422391218238121), np.float64(-0.04792568135841671), np.float64(-0.04718625763222252)], [np.float64(-0.3251245162984765), np.float64(-0.6456889962542812), np.float64(-0.9000507909431884)], [np.float64(0.14311513129349937), np.float64(-0.18035769257236736), np.float64(-0.060035623448860966)]]]","[[0.4138377471363782, 0.9756851313022451, np.float64(-0.9392202970667808)]]","[np.float64(0.6425270639757649), np.float64(0.07477825336552117), np.float64(0.8739647519666277)]",0.9163834752569492
1,"(3,)",relu,0.001,100,0.012707485055065273,"[[[np.float64(-0.1071174022381734), np.float64(-1.1457106618823496), np.float64(-4.105302135301931)], [np.float64(-0.023235692003849225), np.float64(-0.3707183572721586), np.float64(-3.2828333829296805)], [np.float64(-0.4637993425061969), np.float64(-1.3063081777149943), np.float64(-4.1923399643130725)], [np.float64(0.306015543464899), np.float64(-0.27922328357866877), np.float64(-1.6792474803821136)]]]","[[0.9570921818481146, 0.8712790412721916, np.float64(-6.057020614456855)]]","[np.float64(0.13173985463504229), np.float64(0.2599951298664324), np.float64(0.8209167684882288)]",0.6572509759941885
1,"(3,)",relu,0.001,200,0.0005452166695239006,"[[[np.float64(2.0159632089817685), np.float64(-1.8299287149071823), np.float64(-1.842935741183223)], [np.float64(2.5415636820054486), np.float64(-1.457226755340261), np.float64(-2.0918840604998516)], [np.float64(2.224912276581601), np.float64(-1.5851173370352567), np.float64(-2.4934926775028323)], [np.float64(0.9719513158736577), np.float64(-0.1482270822619916), np.float64(-0.2114612578514493)]]]","[[0.8447058299492598, 0.8005625439819231, np.float64(-3.15170573284851)]]","[np.float64(0.12852416768005726), np.float64(0.43139843728352856), np.float64(0.4713217165646258)]",0.016462307044382837
1,"(3,)",sigmoid,0.0001,100,0.015282318278904222,"[[[np.float64(0.10135378720838945), np.float64(0.5574391162759447), np.float64(0.7737220072926252)], [np.float64(0.2985072597445456), np.float64(0.7576268792777086), np.float64(0.5566378765603125)], [np.float64(0.1378644162281231), np.float64(0.501164467612681), np.float64(0.9522761118245952)], [np.float64(0.3541831156042093), np.float64(0.13698919333285509), np.float64(0.38329317497675486)]]]","[[0.26682196704116257, 0.30270392072711505, np.float64(0.939745296437737)]]","[np.float64(0.006148294985040929), np.float64(0.5793672050519859), np.float64(0.29287747117788593)]",0.5123005918697764
1,"(3,)",sigmoid,0.0001,200,0.010367124380171028,"[[[np.float64(0.821096668133461), np.float64(0.290493351214646), np.float64(0.8731330179465527)], [np.float64(0.5317038399167272), np.float64(0.476897466942009), np.float64(0.5889926136591952)], [np.float64(1.007924223907078), np.float64(0.8175529523995058), np.float64(0.651102919194371)], [np.float64(0.8828222666690798), np.float64(0.25687401877080057), np.float64(0.8687992278172193)]]]","[[0.14209875561785446, 0.6128639701802561, np.float64(0.6263309089965645)]]","[np.float64(0.11386768523412809), np.float64(0.04685700421821247), np.float64(0.4167991393273302)]",0.25409917342029226
1,"(3,)",sigmoid,0.001,100,0.017680098797670674,"[[[np.float64(0.23526525239893892), np.float64(-1.2380146469823026), np.float64(0.14993920545603)], [np.float64(-0.1514058808374262), np.float64(-0.381138568072482), np.float64(-0.003861744674739952)], [np.float64(0.6063274541154069), np.float64(-1.2014746556838634), np.float64(0.08618470463249592)], [np.float64(0.23730231624966744), np.float64(0.2166494632307564), np.float64(0.039834745412810145)]]]","[[0.9712989890229523, 0.5363439811732763, np.float64(-0.42722754944368585)]]","[np.float64(0.3013366521774197), np.float64(0.9646471582786125), np.float64(0.2636715841379088)]",0.6872894011974647
1,"(3,)",sigmoid,0.001,200,0.017884394872154947,"[[[np.float64(-0.02317664871154244), np.float64(-0.9561090186778872), np.float64(0.051610722100297976)], [np.float64(-0.567253396653739), np.float64(-0.7397970987548098), np.float64(-0.4072778355456274)], [np.float64(-0.8456450517591638), np.float64(-0.3060309697898365), np.float64(-0.3289296141647169)], [np.float64(-0.10454440419833189), np.float64(-0.26518775235951036), np.float64(0.10926113935183686)]]]","[[0.8432884203642046, 0.6586854826572106, np.float64(-0.2018328334108082)]]","[np.float64(0.3916084965629102), np.float64(0.5107372456695402), np.float64(0.18795936087502282)]",0.8461895023232759
1,"(3,)",tanh,0.0001,100,0.02240516821322417,"[[[np.float64(-0.18102997949143235), np.float64(-0.47972675051055463), np.float64(0.767144219134138)], [np.float64(-0.4848171237574042), np.float64(0.07793816706332632), np.float64(0.3417024358784312)], [np.float64(-0.3861873002464965), np.float64(-0.4180776491308265), np.float64(0.7406282456842137)], [np.float64(0.3484013537474573), np.float64(0.15352912391577528), np.float64(0.5066733534783516)]]]","[[0.5339880227094136, 0.6296003419711441, np.float64(0.4775443869398511)]]","[np.float64(0.7598611992154779), np.float64(0.995566074774786), np.float64(0.16424599484610033)]",0.6868580072323432
1,"(3,)",tanh,0.0001,200,0.013273903972426403,"[[[np.float64(0.5836151426403471), np.float64(-0.6142722978274741), np.float64(-0.3693419377259245)], [np.float64(0.14616267922466356), np.float64(0.18540465601514347), np.float64(-0.16237355672627515)], [np.float64(0.3185941865430658), np.float64(-0.6026679636807241), np.float64(0.3074892740874786)], [np.float64(-0.03975031122857084), np.float64(-0.1381414153767368), np.float64(0.577962498314955)]]]","[[0.8468180578067069, 0.16602285957193152, np.float64(0.07186764700141873)]]","[np.float64(0.1347055174601876), np.float64(0.27500197066736315), np.float64(0.38306688101943936)]",0.941165650566105
1,"(3,)",tanh,0.001,100,0.009974507194258023,"[[[np.float64(0.13551278331256694), np.float64(0.14751920769478089), np.float64(0.06207501354451389)], [np.float64(-0.1041016951719992), np.float64(0.04303427406725427), np.float64(0.2978655558529087)], [np.float64(0.1373729122459567), np.float64(0.7876927812930336), np.float64(-0.5730861361026328)], [np.float64(0.056924719887043805), np.float64(0.16156943043055946), np.float64(0.09518180542114682)]]]","[[0.4933442972719383, 0.5766663251720662, np.float64(-0.35717015088854015)]]","[np.float64(0.369369955280551), np.float64(0.1288328642564526), np.float64(0.7860743315838097)]",0.9897382105582853
