angka_harapan_hidup,rerata_lama_sekolah,harapan_lama_sekolah,pengeluaran_per_kapita
0.23784722222222232,0.7776761207685272,0.8912037037037033,0.20540236353404606
0.42664930555555536,0.5754803293687101,0.907407407407407,0.3953854811480022
0.16883680555555536,0.6093321134492224,0.9884259259259256,0.3208778840742824
0.5021701388888875,0.8398902104300092,0.8888888888888888,0.3044456949915588
0.5386284722222223,0.5452881976212263,0.6111111111111112,0.4023635340461451
0.5481770833333321,0.8014638609332116,1.0,0.6147439504783343
0.47526041666666696,0.8179322964318392,0.9745370370370372,0.4754079909960607
0.6315104166666661,0.90576395242452,1.0,0.5006190208216095
0.38411458333333304,0.6532479414455628,0.9421296296296293,0.5315700619020822
0.7634548611111116,0.7017383348581887,1.0,0.4386043894203713
0.5451388888888884,0.615736505032022,0.9976851851851851,0.3499155880697804
0.22699652777777768,0.6038426349496799,0.75,0.35813168261114225
0.26475694444444464,0.5425434583714548,0.9050925925925926,0.39909960607765904
0.6228298611111116,0.686184812442818,0.8796296296296298,0.35891952729319065
0.5850694444444446,0.6322049405306498,0.8657407407407405,0.3602701181767023
0.40711805555555536,0.5983531564501376,0.8310185185185182,0.5177265053460889
0.5876736111111107,0.8398902104300092,0.761574074074074,0.6746201463140122
0.6710069444444455,0.7548032936871001,1.0,0.5789532920652785
0.7947048611111107,1.0000000000000002,1.0,1.0
0.7039930555555562,1.0000000000000002,0.9837962962962958,0.7063590320765334
0.5998263888888875,1.0000000000000002,1.0,0.7672481710748451
0.798177083333333,1.0000000000000002,1.0,0.705008441193022
0.13368055555555536,0.5306495882891127,1.0,0.24805852560495212
0.6484374999999991,0.14455626715462055,0.6643518518518521,0.1620709060213843
0.052517361111111605,0.615736505032022,0.7939814814814814,0.4940911648846369
0.23350694444444464,0.7255260750228729,0.7291666666666665,0.671693866066404
0.43663194444444375,0.6267154620311071,0.708333333333333,0.5435002813731007
0.5815972222222232,0.8462946020128088,0.7638888888888888,0.7038829487900957
0.7269965277777768,0.9359560841720038,0.7314814814814814,0.76702307259426
0.6861979166666661,0.7282708142726444,0.6527777777777777,0.6537985368598762
0.5399305555555562,0.6056724611161941,0.511574074074074,0.6678671918964547
0.8107638888888884,0.7712717291857274,0.5532407407407405,0.6623522791221159
0.6280381944444446,0.8023787740164685,0.6689814814814814,0.574901519414744
0.8168402777777768,0.828911253430924,0.6527777777777777,0.7786156443444006
0.8194444444444438,0.8938700823421777,0.6851851851851851,0.7911086100168823
0.5876736111111107,0.5800548947849955,0.657407407407407,0.6495216657287564
0.5824652777777777,0.17932296431839,0.5439814814814814,0.16184580754079902
0.6427951388888884,0.8444647758462949,0.6689814814814814,0.2943162633652222
0.3498263888888884,0.7465690759377861,0.8032407407407405,0.32673044456949907
0.8133680555555554,0.7236962488563587,0.7129629629629628,0.3710748452447945
