hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(3,)",relu,0.0001,200,0.36214844233229515,"[[[np.float64(-0.3004132098763533), np.float64(-0.4189382909960842), np.float64(0.1795620916424868)], [np.float64(-0.09567002066210098), np.float64(0.03929650553688819), np.float64(-0.1069071990340606)], [np.float64(-0.47518914718183825), np.float64(-0.11198542197465362), np.float64(-0.18763739094422532)], [np.float64(0.10176238963343243), np.float64(-0.6507823406787835), np.float64(0.6123127242362709)]]]","[[0.006985701442327574, 0.7088684382339053, np.float64(-0.5383355146474966)]]","[np.float64(0.9564412170098955), np.float64(0.46732664711424493), np.float64(0.44923598574165124)]",0.8757701336128287
1,"(3,)",relu,0.001,100,0.11090742584142348,"[[[np.float64(-3.708485391675886), np.float64(-1.8106906960244549), np.float64(-2.9142703673934123)], [np.float64(-3.286912246511843), np.float64(-1.0185548102999709), np.float64(-2.8962555544969324)], [np.float64(-3.027290785662092), np.float64(-1.4413650694076685), np.float64(-2.871878650916428)], [np.float64(-3.102309187979399), np.float64(-1.479378170498619), np.float64(-2.3336989167826583)]]]","[[0.6885598988366219, 0.8210260753781837, np.float64(-7.047955368848831)]]","[np.float64(0.5673271596383772), np.float64(0.24262695668526124), np.float64(0.5027414448654065)]",0.64249226029254
1,"(3,)",relu,0.001,200,0.043079095149406034,"[[[np.float64(-3.4353158883807806), np.float64(-0.7621316454671698), np.float64(0.9251249755313857)], [np.float64(-2.202792992672846), np.float64(-0.8310351197469927), np.float64(1.0320701971283455)], [np.float64(-2.6407762795128855), np.float64(-1.1798759554389104), np.float64(1.154958944909556)], [np.float64(-2.1699211689871927), np.float64(-0.6044111739060387), np.float64(0.8403004956355293)]]]","[[0.01258263333620735, 0.6374339574279069, np.float64(2.085087401209151)]]","[np.float64(0.8988721300177438), np.float64(0.34892209885413417), np.float64(0.107395247053241)]",0.14976693571303656
1,"(3,)",sigmoid,0.0001,100,0.13144599921602043,"[[[np.float64(-0.04414187692878438), np.float64(0.2425057836375427), np.float64(0.5698369352361894)], [np.float64(0.1136898199302111), np.float64(0.7425087180180855), np.float64(0.23128563013512662)], [np.float64(0.7562809636530584), np.float64(0.3711730914070516), np.float64(0.5032628631759771)], [np.float64(0.48221808873508976), np.float64(0.7878915205620374), np.float64(0.5660180530170793)]]]","[[0.1633459777231432, 0.7314346492995049, np.float64(0.19132979631363456)]]","[np.float64(0.3453099095461859), np.float64(0.7865107082367813), np.float64(0.21540774453421135)]",0.029443284175249836
1,"(3,)",sigmoid,0.0001,200,0.15567293060741444,"[[[np.float64(0.2043758472756253), np.float64(-0.10160172308194393), np.float64(0.2143583459876403)], [np.float64(0.0369753808707158), np.float64(-0.4621501840798591), np.float64(0.07929689661110668)], [np.float64(0.268529803693099), np.float64(-0.003147765979805758), np.float64(-0.3145260124343452)], [np.float64(-0.18368097619727142), np.float64(-0.42389455633420514), np.float64(-0.08893391345086894)]]]","[[0.7636704571803666, 0.158292552382724, np.float64(-0.817127603818028)]]","[np.float64(0.5262365008784667), np.float64(0.9076667035843152), np.float64(0.9418901901440245)]",0.15156424953552858
1,"(3,)",sigmoid,0.001,100,0.12284713577690051,"[[[np.float64(0.7642578106096836), np.float64(-1.20782495689629), np.float64(-0.8711004425986109)], [np.float64(0.6943665466548438), np.float64(-1.1013088744663329), np.float64(-1.3464054258882734)], [np.float64(0.0799906798097859), np.float64(-0.949650651933308), np.float64(-0.9388642676060172)], [np.float64(-0.17530766507899967), np.float64(-1.1449869324562136), np.float64(-0.9972987121001593)]]]","[[0.04356149154033806, 0.22583155851732606, np.float64(-2.524935676781065)]]","[np.float64(0.11492523299924326), np.float64(0.8003467019414293), np.float64(0.7690569000189305)]",0.5807471602702204
1,"(3,)",sigmoid,0.001,200,0.12146404393711646,"[[[np.float64(-2.2829446832780516), np.float64(-2.6250858314117256), np.float64(-1.3251326458782897)], [np.float64(-1.9235553289953733), np.float64(-2.7772879661323238), np.float64(-0.6199469146520274)], [np.float64(-1.8764863670192666), np.float64(-2.859200933076851), np.float64(-1.3254626948244912)], [np.float64(-1.7042775120730025), np.float64(-2.4912786845836683), np.float64(-0.508643071991934)]]]","[[0.06645299120064219, 0.18995917056818656, np.float64(-1.8415035045991908)]]","[np.float64(0.8282180289375982), np.float64(0.8666364136828993), np.float64(0.4204945342354462)]",0.6527854062705268
1,"(3,)",tanh,0.0001,100,0.15149768699094704,"[[[np.float64(0.04679417519301883), np.float64(-0.5959772543372979), np.float64(-0.015322963635488667)], [np.float64(0.8176811129328212), np.float64(-0.6078950199993992), np.float64(0.7229986822915946)], [np.float64(0.19337354755125483), np.float64(-0.36174441389309814), np.float64(0.4907508279316883)], [np.float64(0.6053999145848585), np.float64(-0.5821224375400418), np.float64(0.11553121811410598)]]]","[[0.2889139531468913, 0.48190997322862916, np.float64(-0.3726140127165653)]]","[np.float64(0.3920758219934248), np.float64(0.9498020936387833), np.float64(0.44740007047314523)]",0.888805230803029
1,"(3,)",tanh,0.0001,200,0.13641917156419908,"[[[np.float64(-0.5543675757677446), np.float64(-0.26612536652321367), np.float64(0.8971480529220943)], [np.float64(-0.07364284209260419), np.float64(0.009274489339443076), np.float64(0.5837403789015813)], [np.float64(0.24350032872785896), np.float64(-0.25058710156278063), np.float64(0.4895534521787717)], [np.float64(0.017802159380334918), np.float64(-0.06408208161179228), np.float64(0.10293333460269233)]]]","[[0.19917541467150524, 0.9024541543701742, np.float64(0.17367991214228423)]]","[np.float64(0.6924084023603667), np.float64(0.7741818752803792), np.float64(0.02279549499470417)]",0.3537061289031378
1,"(3,)",tanh,0.001,100,0.06607788341239468,"[[[np.float64(0.6820630065159111), np.float64(1.3551626812488282), np.float64(0.029949867157174688)], [np.float64(0.6991733447032931), np.float64(0.5882350828160137), np.float64(-0.10704858030411948)], [np.float64(0.9317930069231319), np.float64(1.0993128155584821), np.float64(0.007753589080305998)], [np.float64(0.1875929667369308), np.float64(1.2091504718341564), np.float64(-0.28690954076703)]]]","[[0.9949281580194741, 0.4818649726302321, np.float64(-0.49650017731190255)]]","[np.float64(0.024734111614033848), np.float64(0.7715594665485851), np.float64(0.8682951147915499)]",0.40123716624918204
