hidden_layer,hidden_neuron,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(5,)",0.01,200,0.031206651866467396,"[[[np.float64(-63.085735329463006), np.float64(-62.934464973410776), np.float64(-7.8909376837829885), np.float64(-0.4478479727137284), np.float64(-56.009059206550624)], [np.float64(-62.95726215663278), np.float64(-62.882298636999785), np.float64(-7.572739832030633), np.float64(-0.3062065629888587), np.float64(-55.201261460330294)], [np.float64(-61.28167570564218), np.float64(-61.1474168260551), np.float64(-7.735254509972621), np.float64(-0.3814751281715985), np.float64(-54.56659160990697)], [np.float64(-57.37342809827227), np.float64(-57.39045501044477), np.float64(-7.59525535989067), np.float64(-0.09453876830949627), np.float64(-50.37010457934483)]]]","[[0.12880815034180304, 0.40238907801149737, 0.5147162190684587, 0.00810340277810706, np.float64(-109.52705332165648)]]","[np.float64(0.6753710694224565), np.float64(0.6889576780951359), np.float64(0.014382082371128521), np.float64(-0.042518173293367996), np.float64(0.5861124830824449)]",0.5057791108574106
1,"(5,)",0.01,500,0.031209282786341164,"[[[np.float64(-84.09229522610653), np.float64(-90.1434379262309), np.float64(-78.13866692475709), np.float64(-37.71876499142968), np.float64(-52.96770884213966)], [np.float64(-83.40021259752366), np.float64(-89.63056115950727), np.float64(-78.14502796597824), np.float64(-36.76543703337678), np.float64(-53.31830165005085)], [np.float64(-81.87337125263686), np.float64(-87.2220017364946), np.float64(-75.70485105274723), np.float64(-36.80031678768908), np.float64(-51.608429788162205)], [np.float64(-75.88385976149681), np.float64(-81.12535247091358), np.float64(-70.83226183229665), np.float64(-33.427921037054226), np.float64(-47.82894551564148)]]]","[[0.7440709845718676, 0.3027148765581614, 0.012704156379176545, 0.8012752836266865, np.float64(-103.92659300498165)]]","[np.float64(0.47426940439725107), np.float64(0.5524680631282695), np.float64(0.5016983859642538), np.float64(0.14411073855657436), np.float64(0.2568132364196636)]",0.5077509020994782
2,"(1, 1)",0.005,200,0.1796037643766219,"[[[np.float64(-0.41713709000335264)], [np.float64(-0.18346773434917615)], [np.float64(-0.1049101667704895)], [np.float64(-0.5101846175142836)]], [[np.float64(-8.534770979464644)]]]","[[np.float64(-0.5830213279690339)], [np.float64(-5.966560460625174)]]",[np.float64(0.5596655945894652)],0.8876212096867983
2,"(1, 1)",0.005,500,0.15322388067027196,"[[[np.float64(-11.204090824230345)], [np.float64(-11.22102262116818)], [np.float64(-10.676085915363766)], [np.float64(-9.888543654621786)]], [[np.float64(-43.59763657089701)]]]","[[np.float64(-21.61633800398065)], [np.float64(-25.393121904948888)]]",[np.float64(0.7809315303119655)],0.8518869818115352
2,"(1, 1)",0.01,200,0.026961180500590577,"[[[np.float64(-1.9585295109990963)], [np.float64(-2.021757249455167)], [np.float64(-2.0256516660503934)], [np.float64(-1.123023799199589)]], [[np.float64(-6.281370765079962)]]]","[[np.float64(-4.356305500531267)], [np.float64(-0.35625203965538965)]]",[np.float64(-0.08113814149947642)],0.3415512146104089
2,"(1, 1)",0.01,500,0.029553588570086504,"[[[np.float64(-85.61358762503183)], [np.float64(-84.72009453741359)], [np.float64(-83.68318585182037)], [np.float64(-77.68421380395398)]], [[np.float64(-141.50060305813213)]]]","[[np.float64(-168.10323434681794)], [np.float64(-33.32076635775795)]]",[np.float64(-0.6100977537086609)],0.4402002835380145
2,"(1, 2)",0.005,200,0.03121589445223588,"[[[np.float64(-2.145419751255757)], [np.float64(-2.2495394560477164)], [np.float64(-1.7705544371591189)], [np.float64(-1.840944449770957)]], [[np.float64(-10.401739959793701), np.float64(-7.26531607826075)]]]","[[np.float64(-5.149438445030612)], [0.5745036229043577, np.float64(-3.213822338409226)]]","[np.float64(0.5101126635385618), np.float64(0.26658358548541067)]",0.2789447559331353
2,"(1, 2)",0.005,500,0.09086071292873187,"[[[np.float64(-2.7385647360683754)], [np.float64(-2.842987896563221)], [np.float64(-2.5893126520952126)], [np.float64(-2.3702210756263207)]], [[np.float64(-5.282300479124427), np.float64(-16.40213079599403)]]]","[[np.float64(-5.354638941505687)], [0.18147207988227498, np.float64(-8.462109194544212)]]","[np.float64(0.1845132427563841), np.float64(0.4835777894823781)]",0.7171984201327442
2,"(1, 2)",0.01,200,0.17122168022731876,"[[[np.float64(-35.293388508907704)], [np.float64(-35.662871178468954)], [np.float64(-35.01039450475894)], [np.float64(-32.117588980563056)]], [[np.float64(-164.6542592484491), np.float64(-230.12630002331915)]]]","[[np.float64(-70.4638718290401)], [0.022890937706387948, np.float64(-106.23136148258922)]]","[np.float64(0.6669943187181577), np.float64(0.894905644917882)]",0.8612870413051804
2,"(1, 2)",0.01,500,0.15931051021491174,"[[[np.float64(-67.88319277232716)], [np.float64(-67.53191561994451)], [np.float64(-66.49322988365724)], [np.float64(-61.37811177291335)]], [[np.float64(-305.32973743705674), np.float64(-396.91878639873147)]]]","[[np.float64(-133.70483691250814)], [0.21142064839023367, np.float64(-138.28400706758848)]]","[np.float64(0.569555179280367), np.float64(0.7555255008166469)]",0.7400322135169732
