provinsi,kabupaten,tahun,indeks_pembangunan_manusia,angka_harapan_hidup_laki,angka_harapan_hidup_perempuan,rerata_lama_sekolah_laki,rerata_lama_sekolah_perempuan,harapan_lama_sekolah,pengeluaran_per_kapita
ACEH,ACEH,2023,73.4,68.42,72.35,9.7,9.4,"14,38",10334
ACEH,Simeulue,2023,68.06,63.72,67.59,10.15,9.37,"14,28",7686
ACEH,AcehSingkil,2023,70.14,65.84,69.82,09.03,8.28,"14,35",9374
ACEH,AcehSelatan,2023,68.44,62.94,66.78,9.23,8.45,"14,7",8712
ACEH,AcehTenggara,2023,71.05,66.71,70.69,10.39,9.81,"14,27",8566
ACEH,AcehTimur,2023,69.32,67.14,71.1,8.6,8.38,"13,07",9436
ACEH,AcehTengah,2023,74.6,67.25,71.21,10.06,9.72,"14,85",11323
ACEH,AcehBarat,2023,72.88,66.4,70.38,10.16,9.8,"14,64",10085
ACEH,AcehBesar,2023,74.53,68.22,72.16,10.56,10.36,"14,76",10309
ACEH,Pidie,2023,71.66,65.36,69.32,9.43,8.73,"14,5",10584
ACEH,Bireuen,2023,73.63,69.72,73.7,9.39,9.3,"14,87",9758
ACEH,AcehUtara,2023,70.87,67.21,71.18,09.03,8.72,"14,74",8970
ACEH,AcehBaratDaya,2023,68.07,63.6,67.46,8.96,8.66,"13,67",9043
ACEH,GayoLues,2023,68.93,64.02,67.91,9.23,7.72,"14,34",9407
ACEH,AcehTamiang,2023,71.35,68.12,72.06,9.51,09.01,"14,23",9050
ACEH,NaganRaya,2023,70.78,67.68,71.63,9.2,8.73,"14,17",9062
ACEH,AcehJaya,2023,70.88,65.62,69.59,8.93,8.63,"14,02",10461
ACEH,BenerMeriah,2023,74.49,67.71,71.66,10.16,10.04,"13,72",11855
ACEH,PidieJaya,2023,74.8,68.68,72.61,9.8,9.47,"14,99",11005
ACEH,KotaBandaAceh,2023,86.69,70.07,74.07,13.14,12.87,"17,93",17521
ACEH,KotaSabang,2023,77.52,69.05,73,11.32,11.05,"14,68",12137
ACEH,KotaLangsa,2023,78.36,67.85,71.8,11.54,11.01,"15,7",12678
ACEH,KotaLhokseumawe,2023,78.92,70.11,74.11,11.46,11.19,"15,54",12125
ACEH,KotaSubulussalam,2023,67.1,62.54,66.37,8.88,7.94,"15,06",8065
SUMATERAUTARA,SUMATERAUTARA,2023,73.37,68.06,72,10.02,9.63,"13,48",11049
SUMATERAUTARA,Nias,2023,64.56,68.42,72.35,7.4,5.2,"13,3",7301
SUMATERAUTARA,MandailingNatal,2023,68.56,61.62,65.42,8.91,8.84,"13,86",10251
SUMATERAUTARA,TapanuliSelatan,2023,71.55,63.67,67.54,9.83,9.12,"13,58",11829
SUMATERAUTARA,TapanuliTengah,2023,70.91,65.95,69.94,9.18,8.69,"13,49",10690
SUMATERAUTARA,TapanuliUtara,2023,74.65,67.64,71.59,10.34,9.93,"13,73",12115
SUMATERAUTARA,TobaSamosir/Toba,2023,76.38,69.31,73.27,10.79,10.46,"13,59",12676
SUMATERAUTARA,LabuhanBatu,2023,73.69,68.85,72.79,9.71,9.27,"13,25",11670
SUMATERAUTARA,Asahan,2023,71.56,67.15,71.12,8.99,8.65,"12,64",11795
SUMATERAUTARA,Simalungun,2023,74.29,70.25,74.26,9.92,9.53,"12,82",11746
SUMATERAUTARA,Dairi,2023,73.27,68.18,72.12,9.92,9.87,"13,32",10969
SUMATERAUTARA,Karo,2023,75.98,70.32,74.33,10.05,10.03,"13,25",12779
SUMATERAUTARA,DeliSerdang,2023,76.52,70.35,74.36,10.65,10.14,"13,39",12890
SUMATERAUTARA,Langkat,2023,72.21,67.71,71.66,09.04,8.32,"13,27",11632
SUMATERAUTARA,NiasSelatan,2023,64.12,67.65,71.6,7.26,5.72,"12,78",7299
SUMATERAUTARA,HumbangHasundutan,2023,70.75,68.35,72.29,10.45,9.8,"13,32",8476
SUMATERAUTARA,PakpakBharat,2023,69.58,64.98,68.91,9.96,9.22,"13,9",8764
SUMATERAUTARA,Samosir,2023,72.08,70.28,74.29,10.08,8.85,"13,51",9158
SUMATERAUTARA,SerdangBedagai,2023,71.75,67.66,71.62,09.09,8.62,"12,64",11695
SUMATERAUTARA,BatuBara,2023,70.31,65.94,69.93,8.74,8.42,"13,11",10933
SUMATERAUTARA,PadangLawasUtara,2023,71.63,65.87,69.86,9.71,9.43,"13,53",10615
SUMATERAUTARA,PadangLawas,2023,70.34,65.77,69.74,9.52,9.31,"13,7",9395
SUMATERAUTARA,LabuhanBatuSelatan,2023,72.82,67.61,71.57,9.44,8.82,"13,42",11950
SUMATERAUTARA,LabuhanBatuUtara,2023,73.63,68.33,72.27,9.2,8.71,"13,57",12429
SUMATERAUTARA,NiasUtara,2023,64.64,68.32,72.26,08.03,5.83,"13,36",6788
SUMATERAUTARA,NiasBarat,2023,63.7,68.03,71.98,8.58,06.09,"12,98",6382
SUMATERAUTARA,KotaSibolga,2023,75.2,68.26,72.2,10.42,10.45,"13,42",12285
SUMATERAUTARA,KotaTanjungBalai,2023,70.59,62.42,66.24,9.53,9.86,"13,14",11753
SUMATERAUTARA,KotaPematangSiantar,2023,80.46,73,76.66,11.89,11.48,"14,6",12984
SUMATERAUTARA,KotaTebingTinggi,2023,76.98,69.69,73.67,11.11,10.73,"13,12",13385
SUMATERAUTARA,KotaMedan,2023,82.19,72.15,75.88,11.8,11.49,"14,78",15674
SUMATERAUTARA,KotaBinjai,2023,77.6,71.09,75.28,11.38,10.84,"14,17",11567
SUMATERAUTARA,KotaPadangsidimpuan,2023,76.44,68.28,72.22,11.26,11.02,"14,59",11552
SUMATERAUTARA,KotaGunungsitoli,2023,70.68,70.13,74.14,9.96,7.72,"13,78",8635
SUMATERABARAT,SUMATERABARAT,2023,73.75,68.27,72.21,9.2,9.37,"14,11",11380
SUMATERABARAT,KepulauanMentawai,2023,63.13,63.22,67.07,8.36,7.29,"12,9",6891
SUMATERABARAT,PesisirSelatan,2023,71.44,69.58,73.55,8.61,8.58,"13,36",9953
SUMATERABARAT,Solok,2023,70.63,67.63,71.58,7.93,7.9,"13,55",10717
SUMATERABARAT,Sijunjung,2023,69.65,65.09,69.04,8.66,8.55,"12,72",11018
SUMATERABARAT,TanahDatar,2023,73.98,68.92,72.86,8.78,9.22,"14,78",10905
SUMATERABARAT,PadangPariaman,2023,72.61,67.77,71.72,8.7,8.11,"14,19",11432
SUMATERABARAT,Agam,2023,73.98,71.15,75.41,09.09,9.33,"13,89",10402
SUMATERABARAT,LimaPuluhKota,2023,70.7,68.38,72.31,8.45,8.11,"13,41",10285
SUMATERABARAT,Pasaman,2023,68.13,66.34,70.33,8.39,08.05,"13,25",8908
SUMATERABARAT,SolokSelatan,2023,70.58,66.77,70.74,8.67,8.72,"12,8",10884
SUMATERABARAT,Dharmasraya,2023,73.04,70.29,74.3,8.95,8.7,"12,68",11901
SUMATERABARAT,PasamanBarat,2023,70.19,66.59,70.56,8.96,8.63,"13,7",9538
SUMATERABARAT,KotaPadang,2023,83.58,72.39,76.09,11.71,11.56,"16,56",15089
SUMATERABARAT,KotaSolok,2023,79.58,72.62,76.31,11.24,11.52,"14,36",12709
SUMATERABARAT,KotaSawahLunto,2023,74.42,68.77,72.71,10.4,10.59,"13,69",10829
SUMATERABARAT,KotaPadangPanjang,2023,79.26,71.16,75.41,11.56,12.18,"15,29",11310
SUMATERABARAT,KotaBukittinggi,2023,81.78,73.39,77.02,11.46,11.64,"15,01",13859
SUMATERABARAT,KotaPayakumbuh,2023,79.97,72.67,76.35,10.61,11.06,"14,3",13978
SUMATERABARAT,KotaPariaman,2023,78.13,69.02,72.97,10.7,10.9,"14,79",13355
RIAU,RIAU,2023,74.04,70.28,74.29,9.47,9.2,"13,3",11448
RIAU,KuantanSingingi,2023,71.67,67.19,71.16,9.16,8.63,"13,37",10945
RIAU,IndragiriHulu,2023,71.04,68.77,72.71,8.64,8.19,"12,59",10957
RIAU,IndragiriHilir,2023,67.98,66.68,70.65,7.55,7.23,"12,2",10659
RIAU,Pelalawan,2023,73.59,70.05,74.05,8.96,8.54,"12,9",12399
RIAU,Siak,2023,74.98,69.69,73.68,10.09,9.83,"12,86",12637
RIAU,Kampar,2023,74.24,69.49,73.46,9.69,9.11,"13,6",11662
RIAU,RokanHulu,2023,71.02,68.91,72.86,8.93,8.68,"12,88",10055
RIAU,Bengkalis,2023,74.97,69.84,73.83,10.01,9.43,"13,34",12153
RIAU,RokanHilir,2023,70.78,69.07,73.02,8.87,8.21,"12,88",10097
RIAU,KepulauanMeranti,2023,67.28,66.47,70.45,8.14,7.87,"12,86",8613
RIAU,KotaPekanbaru,2023,82.38,71.02,75.13,11.97,11.93,"15,58",14983
RIAU,KotaDumai,2023,75.66,69.73,73.71,10.38,10.12,"13,33",12457
JAMBI,JAMBI,2023,72.77,69.83,73.81,09.09,8.53,"13,13",11160
JAMBI,Kerinci,2023,72.54,68.63,72.57,9.28,08.07,"13,91",10965
JAMBI,Merangin,2023,70.81,69.81,73.8,8.63,7.81,"12,25",10969
JAMBI,Sarolangun,2023,71.29,67.77,71.72,8.64,7.84,"12,48",12392
JAMBI,BatangHari,2023,71.02,69.29,73.25,8.59,08.09,"12,96",10528
JAMBI,MuaroJambi,2023,71.04,69.89,73.88,8.9,8.5,"13,15",9525
JAMBI,TanjungJabungTimur,2023,66.65,65.05,68.99,7.72,7.12,"12,2",9898
JAMBI,TanjungJabungBarat,2023,69.35,66.74,70.71,8.52,08.01,"12,67",10229
JAMBI,Tebo,2023,70.63,68.57,72.5,8.25,7.83,"12,92",10894
JAMBI,Bungo,2023,71.06,66.48,70.46,8.88,7.94,"12,66",12224
JAMBI,KotaJambi,2023,80.15,71.19,75.49,11.53,11.12,"15,54",12783
JAMBI,KotaSungaiPenuh,2023,76.65,70.89,74.92,11.15,10.21,"14,83",11027
SUMATERASELATAN,SUMATERASELATAN,2023,71.62,68.74,72.68,8.67,8.33,"12,63",11472
SUMATERASELATAN,OganKomeringUlu,2023,71.01,66.91,70.88,8.96,8.73,"12,99",10859
SUMATERASELATAN,OganKomeringIlir,2023,68.65,67.38,71.34,7.5,6.79,"11,97",11736
SUMATERASELATAN,MuaraEnim,2023,70.24,67.79,71.74,8.65,7.57,"12,01",11683
SUMATERASELATAN,Lahat,2023,69.1,64.96,68.89,8.93,8.31,"12,44",10811
SUMATERASELATAN,MusiRawas,2023,68.26,67.01,70.98,7.87,7.41,"12,22",10429
SUMATERASELATAN,MusiBanyuasin,2023,69.17,67.58,71.54,7.93,7.43,"12,31",10862
SUMATERASELATAN,BanyuAsin,2023,68.65,67.83,71.78,7.91,7.11,"12,09",10731
SUMATERASELATAN,OganKomeringUluSelatan,2023,66.67,65.94,69.92,8.22,7.93,"11,79",9176
SUMATERASELATAN,OganKomeringUluTimur,2023,70.96,67.85,71.8,8.21,7.71,"12,47",12046
SUMATERASELATAN,OganIlir,2023,68.76,64.43,68.33,8.39,7.87,"12,41",11456
SUMATERASELATAN,EmpatLawang,2023,66.68,63.84,67.72,8.17,7.51,"12,1",10375
SUMATERASELATAN,PenukalAbabLematangIlir,2023,66.64,67.03,71,7.6,6.71,"12,49",9139
SUMATERASELATAN,MusiRawasUtara,2023,66.6,64.46,68.37,08.03,07.04,"11,7",10631
SUMATERASELATAN,KotaPalembang,2023,80.02,70.04,74.04,11.07,10.68,"14,45",15592
SUMATERASELATAN,KotaPrabumulih,2023,76.46,69.33,73.3,10.64,10.02,"13,31",13494
SUMATERASELATAN,KotaPagarAlam,2023,70.45,65.76,69.74,9.57,9.37,"13,49",9683
SUMATERASELATAN,KotaLubuklinggau,2023,76.19,68.33,72.27,10.31,9.68,"13,55",14211
BENGKULU,BENGKULU,2023,72.78,67.99,71.94,9.25,8.8,"13,74",11172
BENGKULU,BengkuluSelatan,2023,71.91,66.45,70.43,9.73,9.19,"13,65",10657
BENGKULU,RejangLebong,2023,72.31,67.29,71.25,8.98,8.68,"14,19",10848
BENGKULU,BengkuluUtara,2023,70.28,66.83,70.81,8.56,7.73,"12,91",11188
BENGKULU,Kaur,2023,68.38,65.34,69.3,8.99,8.19,"13,14",9365
BENGKULU,Seluma,2023,68.27,66.4,70.38,8.55,7.68,"13,32",8949
BENGKULU,Mukomuko,2023,69.97,65.37,69.33,8.84,8.15,"12,86",11075
BENGKULU,Lebong,2023,68.71,62.07,65.88,8.57,8.12,"12,9",12012
BENGKULU,Kepahiang,2023,69.6,66.52,70.5,8.71,8.12,"13,14",10044
BENGKULU,BengkuluTengah,2023,68.99,66.58,70.56,08.07,6.93,"13,46",10114
BENGKULU,KotaBengkulu,2023,81.45,68.81,72.76,12.12,11.82,"16,06",14924
LAMPUNG,LAMPUNG,2023,71.15,69.31,73.28,8.57,8,"12,77",10769
LAMPUNG,LampungBarat,2023,69.11,66.19,70.17,8.53,8.16,"12,29",10593
LAMPUNG,Tanggamus,2023,67.86,67.3,71.26,7.73,6.97,"12,31",10038
LAMPUNG,LampungSelatan,2023,69.63,68.05,71.99,8.13,7.47,"12,64",10617
LAMPUNG,LampungTimur,2023,71.21,69.31,73.28,8.38,7.91,"12,97",10812
LAMPUNG,LampungTengah,2023,71.6,68.37,72.31,8.28,7.52,"13,04",12195
LAMPUNG,LampungUtara,2023,68.95,67.91,71.85,8.57,8.2,"12,55",9374
LAMPUNG,WayKanan,2023,68.63,67.99,71.93,8.1,7.24,"12,43",9887
LAMPUNG,Tulangbawang,2023,70.02,68.5,72.44,8.27,7.56,"12,29",11552
LAMPUNG,Pesawaran,2023,67.67,67.81,71.76,8.37,7.67,"12,62",8633
LAMPUNG,Pringsewu,2023,71.61,69.12,73.07,8.74,08.08,"12,92",11016
LAMPUNG,Mesuji,2023,65.64,66.81,70.78,7.33,6.83,"11,81",8947
LAMPUNG,TulangBawangBarat,2023,67.81,68.5,72.44,8.11,7.45,"12,1",9162
LAMPUNG,PesisirBarat,2023,66,62.43,66.25,8.93,8.57,"12,14",9102
LAMPUNG,KotaBandarLampung,2023,78.56,69.96,73.96,11.41,10.68,"14,72",13092
LAMPUNG,KotaMetro,2023,78.36,70.17,74.17,11.19,10.94,"14,77",12618
KEP.BANGKABELITUNG,KEP.BANGKABELITUNG,2023,72.85,69.3,73.26,8.45,8.11,"12,31",13589
KEP.BANGKABELITUNG,Bangka,2023,73.66,69.65,73.63,8.74,8.16,"13,11",13146
KEP.BANGKABELITUNG,Belitung,2023,74.02,69.6,73.57,09.08,8.65,"11,9",14365
KEP.BANGKABELITUNG,BangkaBarat,2023,70.45,68.51,72.44,08.07,7.42,"11,73",13105
KEP.BANGKABELITUNG,BangkaTengah,2023,71.71,70.16,74.16,7.66,6.94,"12,12",13643
KEP.BANGKABELITUNG,BangkaSelatan,2023,68.51,67.05,71.02,7.23,6.72,"11,59",12627
KEP.BANGKABELITUNG,BelitungTimur,2023,72.86,70.62,74.65,8.98,8.79,"11,66",12536
KEP.BANGKABELITUNG,KotaPangkalPinang,2023,79.93,72.18,75.9,10.84,10.08,"13,19",16734
KEPULAUANRIAU,KEPULAUANRIAU,2023,77.11,68.99,72.94,10.51,10.38,"13,05",14998
KEPULAUANRIAU,Karimun,2023,73.51,70.06,74.05,8.9,8.43,"12,61",12756
KEPULAUANRIAU,Bintan,2023,75.7,69.16,73.12,09.05,8.92,"13,44",14882
KEPULAUANRIAU,Natuna,2023,74.21,64.32,68.22,9.37,09.02,"13,93",15409
KEPULAUANRIAU,Lingga,2023,67.44,61.65,65.44,7.59,7.16,"12,63",12485
KEPULAUANRIAU,KepulauanAnambas,2023,70.26,66.15,70.14,7.7,7.21,"13,05",12495
KEPULAUANRIAU,KotaBatam,2023,82.11,72.16,75.89,11.37,11.07,"13,34",18990
KEPULAUANRIAU,KotaTanjungPinang,2023,80.23,70.88,74.92,10.84,10.64,"14,15",16213
DKIJAKARTA,DKIJAKARTA,2023,82.46,71.88,75.61,11.73,11.18,"13,33",19373
DKIJAKARTA,Kep.Seribu,2023,73.39,67.68,71.63,9.31,8.74,"12,66",13523
DKIJAKARTA,KotaJakartaSelatan,2023,86.07,73.03,76.69,12.09,11.54,"13,66",24975
DKIJAKARTA,KotaJakartaTimur,2023,84.13,73.38,77.01,12.24,11.72,"14,06",18712
DKIJAKARTA,KotaJakartaPusat,2023,82.53,73.06,76.71,11.82,11.31,"13,29",18202
DKIJAKARTA,KotaJakartaBarat,2023,83.02,72.39,76.09,11.64,10.82,"12,87",21709
DKIJAKARTA,KotaJakartaUtara,2023,81.11,71.8,75.55,11.32,10.42,"12,67",19617
JAWABARAT,JAWABARAT,2023,73.74,72.01,76.19,9.12,8.54,"12,68",11695
JAWABARAT,Bogor,2023,71.78,69.97,73.96,8.97,08.03,"12,64",11153
JAWABARAT,Sukabumi,2023,68.49,69.89,73.88,7.82,07.08,"12,38",9482
JAWABARAT,Cianjur,2023,66.55,68.87,72.81,7.53,6.75,"12,03",8626
JAWABARAT,Bandung,2023,73.74,72.5,76.2,9.32,8.93,"12,73",11018
JAWABARAT,Garut,2023,68.11,70.12,74.12,8.14,7.49,"12,16",8685
JAWABARAT,Tasikmalaya,2023,67.76,68.27,72.21,8.1,7.83,"12,63",8562
JAWABARAT,Ciamis,2023,72.05,70.61,74.63,8.31,7.89,"14,29",9750
JAWABARAT,Kuningan,2023,70.72,72.52,76.22,8.16,7.63,"12,26",10011
JAWABARAT,Cirebon,2023,70.95,70.79,74.83,08.06,7.21,"12,41",11128
JAWABARAT,Majalengka,2023,69.13,69.12,73.08,7.8,7.2,"12,26",10340
JAWABARAT,Sumedang,2023,73.18,71.13,75.35,8.95,8.48,"13,01",11136
JAWABARAT,Indramayu,2023,69.25,70.5,74.52,7.5,6.36,"12,29",10580
JAWABARAT,Subang,2023,70.7,71.16,75.43,7.9,7.12,"11,91",11537
JAWABARAT,Purwakarta,2023,72.09,69.79,73.78,8.8,7.69,"12,18",12619
JAWABARAT,Karawang,2023,72.35,70.93,74.97,8.48,7.48,"12,2",12392
JAWABARAT,Bekasi,2023,75.76,72.53,76.23,9.8,9.17,"13,17",12123
JAWABARAT,BandungBarat,2023,69.61,71.07,75.23,8.75,7.86,"11,91",9392
JAWABARAT,Pangandaran,2023,69.38,70.22,74.22,8.4,7.77,"12,3",9406
JAWABARAT,KotaBogor,2023,77.85,72.69,76.37,11.04,10.24,"13,45",12656
JAWABARAT,KotaSukabumi,2023,76.32,71.08,75.25,10.7,10.09,"13,6",11799
JAWABARAT,KotaBandung,2023,83.04,73.3,76.93,11.42,10.71,"14,24",18236
JAWABARAT,KotaCirebon,2023,76.46,71.06,75.2,10.67,10.12,"13,16",12506
JAWABARAT,KotaBekasi,2023,83.03,74.1,77.45,12.15,11.66,"14,12",16479
JAWABARAT,KotaDepok,2023,82.38,73.49,77.11,11.89,11.28,"13,96",16279
JAWABARAT,KotaCimahi,2023,79.46,73.05,76.7,11.65,10.98,"13,84",12883
JAWABARAT,KotaTasikmalaya,2023,74.47,70.95,74.99,9.66,9.31,"13,49",11063
JAWABARAT,KotaBanjar,2023,73.08,69.85,73.84,9.23,8.52,"13,27",11356
JAWATENGAH,JAWATENGAH,2023,73.39,72.95,76.62,8.42,7.62,"12,85",11835
JAWATENGAH,Cilacap,2023,71.83,72.48,76.2,7.87,6.97,"12,67",11432
JAWATENGAH,Banyumas,2023,73.86,72.2,75.94,8.19,7.54,"13,26",12492
JAWATENGAH,Purbalingga,2023,70.24,71.57,75.36,7.58,7.11,"12,02",10964
JAWATENGAH,Banjarnegara,2023,69.14,72.71,76.41,7.16,6.61,"11,82",10226
JAWATENGAH,Kebumen,2023,71.37,72.05,75.8,8.23,7.43,"13,37",9734
JAWATENGAH,Purworejo,2023,74.28,73.47,77.11,09.02,08.01,"13,53",11110
JAWATENGAH,Wonosobo,2023,69.37,70.21,74.19,7.14,6.71,"11,8",11577
JAWATENGAH,Magelang,2023,71.45,72.45,76.15,8.35,7.38,"12,61",10493
JAWATENGAH,Boyolali,2023,75.41,74.39,78.14,8.74,7.52,"12,66",13716
JAWATENGAH,Klaten,2023,77.59,75.22,78.99,9.89,8.68,"13,41",12968
JAWATENGAH,Sukoharjo,2023,78.65,76.14,79.88,10.11,9.47,"13,91",12319
JAWATENGAH,Wonogiri,2023,71.97,74.72,78.48,8.12,7.32,"12,52",10283
JAWATENGAH,Karanganyar,2023,77.31,75.94,79.72,9.46,8.6,"13,71",12260
JAWATENGAH,Sragen,2023,75.1,74.14,77.89,8.45,7.38,"12,92",13439
JAWATENGAH,Grobogan,2023,71.49,73.3,76.95,7.88,6.77,"12,46",11083
JAWATENGAH,Blora,2023,70.63,72.95,76.64,7.44,6.82,"12,51",10541
JAWATENGAH,Rembang,2023,71.89,73.02,76.69,8.19,7.24,"12,15",11399
JAWATENGAH,Pati,2023,73.59,74.55,78.31,8.32,7.5,"12,96",11385
JAWATENGAH,Kudus,2023,76.71,75.02,78.78,9.64,8.87,"13,26",12088
JAWATENGAH,Jepara,2023,73.85,74.24,77.99,8.68,7.86,"12,85",11306
JAWATENGAH,Demak,2023,74.07,73.77,77.48,8.79,7.78,"13,34",11166
JAWATENGAH,Semarang,2023,75.13,74.12,77.86,8.49,7.83,"13,05",12943
JAWATENGAH,Temanggung,2023,71.33,73.95,77.69,7.57,7.46,"12,61",10108
JAWATENGAH,Kendal,2023,73.86,72.84,76.51,8.14,7.34,"12,99",12755
JAWATENGAH,Batang,2023,70.2,73.12,76.77,7.56,6.77,"12,15",10470
JAWATENGAH,Pekalongan,2023,71.4,72.11,75.84,7.83,7.15,"12,44",11297
JAWATENGAH,Pemalang,2023,68.03,72.09,75.82,07.02,6.2,"12,01",9587
JAWATENGAH,Tegal,2023,70.23,70.05,74.05,7.82,6.88,"12,92",10537
JAWATENGAH,Brebes,2023,67.95,68.03,71.98,6.92,5.9,"12,44",10993
JAWATENGAH,KotaMagelang,2023,81.17,75.37,79.14,11.43,11.06,"14,4",13175
JAWATENGAH,KotaSurakarta,2023,83.54,75.77,79.55,11.45,10.81,"14,9",15870
JAWATENGAH,KotaSalatiga,2023,84.99,76.07,79.85,11.67,10.94,"15,44",16650
JAWATENGAH,KotaSemarang,2023,84.43,76.04,79.83,11.54,10.47,"15,55",16420
JAWATENGAH,KotaPekalongan,2023,76.71,72.86,76.53,9.46,9.21,"12,87",14056
JAWATENGAH,KotaTegal,2023,77.02,72.9,76.57,9.53,8.83,"13,18",14013
DIYOGYAKARTA,DIYOGYAKARTA,2023,81.07,73.4,77.03,10.16,9.51,"15,66",14924
DIYOGYAKARTA,KulonProgo,2023,75.79,73.57,77.21,9.46,8.9,"14,48",10723
DIYOGYAKARTA,Bantul,2023,81.39,72.13,75.9,10.12,9.58,"15,61",16524
DIYOGYAKARTA,GunungKidul,2023,71.24,72.49,76.19,7.93,6.9,"13,39",10065
DIYOGYAKARTA,Sleman,2023,84.77,73.35,76.99,11.37,10.72,"16,77",16976
DIYOGYAKARTA,KotaYogyakarta,2023,88.28,73.18,76.83,12.24,11.75,"17,62",19920
JAWATIMUR,JAWATIMUR,2023,73.38,70.16,74.16,8.52,7.71,"13,38",12421
JAWATIMUR,Pacitan,2023,70.19,70.89,74.93,8.15,7.5,"12,68",9681
JAWATIMUR,Ponorogo,2023,72.5,71.36,75.84,8.1,7.46,"13,77",10658
JAWATIMUR,Trenggalek,2023,71.73,72.9,76.57,8.2,7.6,"12,62",10465
JAWATIMUR,Tulungagung,2023,74.61,73.18,76.83,8.94,8.41,"13,34",11565
JAWATIMUR,Blitar,2023,72.49,72.59,76.28,7.93,7.69,"12,65",11499
JAWATIMUR,Kediri,2023,73.96,71.18,75.47,8.62,7.87,"13,62",11952
JAWATIMUR,Malang,2023,72.16,71.18,75.45,08.08,7.45,"13,48",10791
JAWATIMUR,Lumajang,2023,67.87,69.03,72.98,7.66,6.69,"12,16",9720
JAWATIMUR,Jember,2023,68.64,68.11,72.05,7.21,06.01,"13,49",10277
JAWATIMUR,Banyuwangi,2023,72.61,69.44,73.41,8.19,7.21,"13,12",12820
JAWATIMUR,Bondowoso,2023,67.99,65.66,69.64,6.96,5.72,"13,32",11255
JAWATIMUR,Situbondo,2023,69.16,68.01,71.96,7.59,6.27,"13,19",10702
JAWATIMUR,Probolinggo,2023,67.79,66.18,70.16,6.93,5.72,"12,63",11756
JAWATIMUR,Pasuruan,2023,70.29,68.89,72.83,8.12,6.94,"12,77",11239
JAWATIMUR,Sidoarjo,2023,81.55,72.93,76.62,10.98,10.58,"14,97",15311
JAWATIMUR,Mojokerto,2023,75.53,71.17,75.44,9.69,8.6,"12,97",13467
JAWATIMUR,Jombang,2023,74.6,71.15,75.4,9.29,8.23,"13,59",11999
JAWATIMUR,Nganjuk,2023,73.71,70.33,74.34,8.74,7.84,"13,17",12821
JAWATIMUR,Madiun,2023,72.97,70.32,74.33,8.47,7.54,"13,23",12259
JAWATIMUR,Magetan,2023,75.41,71.19,75.49,9.1,8.24,"14,07",12495
JAWATIMUR,Ngawi,2023,72.47,71.14,75.37,8.34,7.39,"12,85",11897
JAWATIMUR,Bojonegoro,2023,70.85,70.61,74.63,08.04,6.96,"12,92",10776
JAWATIMUR,Tuban,2023,70.34,70.4,74.41,7.88,6.95,"12,27",11174
JAWATIMUR,Lamongan,2023,74.53,71.15,75.39,8.86,7.89,"14,02",12019
JAWATIMUR,Gresik,2023,77.98,71.2,75.5,10.33,9.72,"13,97",13870
JAWATIMUR,Bangkalan,2023,65.75,68.86,72.81,6.75,5.37,"11,97",9438
JAWATIMUR,Sampang,2023,64.13,66.7,70.67,5.58,4.64,"12,54",9363
JAWATIMUR,Pamekasan,2023,67.96,66.37,70.35,7.95,6.42,"13,68",9420
JAWATIMUR,Sumenep,2023,68.61,70.51,74.53,6.93,5.19,"13,58",9807
JAWATIMUR,KotaKediri,2023,80.44,72.93,76.6,11.37,10.2,"15,45",13276
JAWATIMUR,KotaBlitar,2023,80.63,72.92,76.59,10.99,10.7,"14,57",14548
JAWATIMUR,KotaMalang,2023,83.39,72.36,76.07,11.38,10.9,"15,77",17222
JAWATIMUR,KotaProbolinggo,2023,75.43,69.06,73.01,10.01,09.05,"13,73",12999
JAWATIMUR,KotaPasuruan,2023,77.17,70.35,74.36,10.19,9.18,"13,66",14250
JAWATIMUR,KotaMojokerto,2023,80.07,72.32,76.04,11.44,10.56,"14,04",14422
JAWATIMUR,KotaMadiun,2023,82.71,71.29,75.69,12.09,11.39,"14,44",17115
JAWATIMUR,KotaSurabaya,2023,83.45,73.01,76.67,11.06,10.35,"14,85",18977
JAWATIMUR,KotaBatu,2023,78.18,71.19,75.49,10.12,9.63,"14,56",13603
BANTEN,BANTEN,2023,73.87,68.85,72.79,9.49,8.85,"13,09",12601
BANTEN,Pandeglang,2023,66.42,63.7,67.56,7.64,6.68,"13,73",9151
BANTEN,Lebak,2023,65.21,66.19,70.17,07.07,6.26,"12,1",9130
BANTEN,Tangerang,2023,73.43,68.73,72.67,9.32,8.56,"12,87",12749
BANTEN,Serang,2023,68.39,63.72,67.58,8.25,7.41,"12,86",11320
BANTEN,KotaTangerang,2023,79.46,70.28,74.29,11.3,10.53,"13,89",15377
BANTEN,KotaCilegon,2023,74.54,65.46,69.42,10.68,10.05,"13,21",13663
BANTEN,KotaSerang,2023,73.48,67.05,71.02,9.58,8.5,"12,82",14088
BANTEN,KotaTangerangSelatan,2023,82.28,71.07,75.24,12.12,11.28,"14,68",16225
BALI,BALI,2023,77.1,70.99,75.07,10.04,8.8,"13,58",14382
BALI,Jembrana,2023,74.04,71.14,75.37,9.4,7.91,"13,02",12236
BALI,Tabanan,2023,77.43,72.71,76.38,10.01,8.78,"13,04",14832
BALI,Badung,2023,83.08,74.02,77.78,11.32,10.52,"14,22",17915
BALI,Gianyar,2023,79.24,72.75,76.42,10.38,9.19,"14,09",15047
